                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1522,                0.96932,                 1.3102,                0.85582,                0.82983,                0.87012,                0.55936,                 1.1909,                0.84693,                 1.3215,               0.006634,               0.006634,               0.006634
                     36,                 1.1903,                0.97202,                 1.3153,                0.81758,                0.84832,                0.86637,                0.54808,                 1.2013,                0.89346,                 1.3239,               0.006535,               0.006535,               0.006535
                     37,                 1.1677,                0.96515,                 1.3104,                0.86741,                0.83009,                0.85653,                0.54122,                 1.2197,                0.89899,                 1.3507,               0.006436,               0.006436,               0.006436
                     38,                 1.1849,                0.97316,                  1.306,                 0.8616,                 0.8432,                0.87789,                0.54563,                 1.2262,                0.87954,                 1.3433,               0.006337,               0.006337,               0.006337
                     39,                 1.1601,                0.94646,                 1.2986,                   0.89,                0.84578,                0.88858,                0.56476,                 1.1941,                0.84329,                 1.2991,               0.006238,               0.006238,               0.006238
                     40,                 1.1537,                0.93348,                 1.2885,                0.84493,                0.84982,                0.87715,                0.56453,                 1.1865,                0.83333,                 1.3116,               0.006139,               0.006139,               0.006139
                     41,                 1.1751,                 0.9514,                 1.3006,                0.85954,                0.83155,                0.87441,                0.55246,                 1.1987,                0.87459,                 1.3105,                0.00604,                0.00604,                0.00604
                     42,                  1.153,                0.93821,                  1.298,                0.85367,                0.85143,                0.86403,                 0.5481,                  1.191,                0.86789,                 1.3111,               0.005941,               0.005941,               0.005941
                     43,                 1.1407,                0.91453,                 1.2862,                0.87174,                0.86437,                 0.8963,                0.58048,                 1.1816,                0.81214,                 1.3117,               0.005842,               0.005842,               0.005842
                     44,                 1.1316,                0.90435,                 1.2887,                0.87331,                0.85541,                0.88552,                0.56748,                 1.1785,                0.85514,                 1.3107,               0.005743,               0.005743,               0.005743
                     45,                 1.1499,                0.90963,                 1.2885,                0.85716,                 0.8572,                0.87575,                0.54872,                 1.2035,                0.82509,                 1.3125,               0.005644,               0.005644,               0.005644
                     46,                 1.1262,                 0.8917,                 1.2767,                0.86971,                0.86185,                0.88164,                0.56854,                 1.1864,                0.82446,                 1.3065,               0.005545,               0.005545,               0.005545
                     47,                 1.1269,                0.89688,                 1.2828,                0.83471,                0.87692,                0.87448,                0.56477,                  1.181,                0.81386,                 1.3083,               0.005446,               0.005446,               0.005446
                     48,                 1.1351,                0.89983,                 1.2825,                0.89277,                0.84408,                0.88189,                0.56622,                 1.1674,                0.82599,                 1.2941,               0.005347,               0.005347,               0.005347
                     49,                 1.1342,                0.89149,                 1.2881,                0.89784,                0.86465,                0.89357,                0.57124,                 1.1594,                 0.8065,                 1.2897,               0.005248,               0.005248,               0.005248
                     50,                 1.0963,                0.85831,                 1.2595,                0.89906,                0.85265,                0.88021,                0.57426,                 1.1534,                0.80987,                 1.2776,               0.005149,               0.005149,               0.005149
                     51,                 1.1198,                0.87263,                 1.2687,                0.87224,                0.87691,                 0.8987,                0.58219,                  1.178,                0.78712,                 1.3068,                0.00505,                0.00505,                0.00505
                     52,                 1.0963,                0.85963,                 1.2622,                0.87055,                0.88283,                0.89416,                0.58581,                 1.1356,                0.78102,                 1.2732,               0.004951,               0.004951,               0.004951
                     53,                    1.1,                0.84498,                 1.2605,                0.86887,                 0.8705,                0.88481,                0.56571,                 1.1593,                0.79759,                  1.284,               0.004852,               0.004852,               0.004852
                     54,                  1.112,                 0.8378,                 1.2705,                0.89167,                0.85746,                0.88665,                0.57313,                 1.1689,                0.79979,                 1.2944,               0.004753,               0.004753,               0.004753
                     55,                 1.1107,                0.85696,                  1.262,                  0.899,                0.86799,                0.89581,                0.57581,                 1.1692,                0.77646,                 1.2918,               0.004654,               0.004654,               0.004654
                     56,                 1.0737,                0.83937,                 1.2457,                0.86626,                0.86214,                0.89008,                0.58347,                 1.1577,                0.79796,                 1.2785,               0.004555,               0.004555,               0.004555
                     57,                 1.1104,                 0.8454,                 1.2618,                0.87543,                0.84837,                0.88979,                0.57788,                 1.1551,                0.78247,                 1.2784,               0.004456,               0.004456,               0.004456
                     58,                 1.0742,                0.82887,                 1.2475,                0.88625,                0.88276,                0.89168,                 0.5891,                 1.1436,                0.77885,                 1.2726,               0.004357,               0.004357,               0.004357
                     59,                 1.0974,                0.81183,                 1.2489,                0.89445,                0.84718,                0.89144,                0.57746,                 1.1775,                0.80706,                 1.2949,               0.004258,               0.004258,               0.004258
                     60,                 1.0637,                0.81414,                 1.2456,                  0.871,                0.88704,                 0.8919,                  0.581,                 1.1665,                0.74844,                 1.2904,               0.004159,               0.004159,               0.004159
                     61,                 1.0648,                0.81648,                  1.239,                 0.8719,                0.86152,                0.88459,                0.57171,                   1.14,                0.78187,                 1.2701,                0.00406,                0.00406,                0.00406
                     62,                 1.0735,                0.80198,                 1.2445,                0.87597,                0.87348,                0.88453,                0.58103,                 1.1258,                0.75742,                 1.2613,               0.003961,               0.003961,               0.003961
                     63,                 1.0735,                0.82199,                 1.2501,                 0.8767,                0.88099,                0.89926,                0.58562,                 1.1569,                0.74537,                 1.2801,               0.003862,               0.003862,               0.003862
                     64,                 1.0511,                0.79823,                 1.2331,                0.86443,                0.88337,                0.89959,                0.59152,                 1.1528,                0.76455,                 1.2855,               0.003763,               0.003763,               0.003763
                     65,                 1.0658,                0.78484,                 1.2383,                0.87406,                0.87068,                0.89704,                0.58862,                 1.1514,                0.74059,                 1.2862,               0.003664,               0.003664,               0.003664
                     66,                 1.0509,                0.80231,                  1.236,                0.85635,                0.88973,                0.90024,                0.58826,                 1.1481,                0.77595,                  1.278,               0.003565,               0.003565,               0.003565
                     67,                 1.0507,                0.79425,                 1.2365,                0.88578,                 0.8749,                0.89981,                0.59205,                 1.1309,                0.74804,                 1.2621,               0.003466,               0.003466,               0.003466
                     68,                  1.065,                0.77347,                 1.2302,                0.86677,                0.89077,                0.89751,                0.59755,                 1.1466,                0.76722,                 1.2752,               0.003367,               0.003367,               0.003367
                     69,                 1.0516,                0.77004,                 1.2281,                0.89311,                0.87756,                0.90463,                 0.5998,                 1.1317,                0.75955,                 1.2607,               0.003268,               0.003268,               0.003268
                     70,                  1.049,                0.78258,                 1.2275,                0.88853,                0.86488,                0.89953,                0.59496,                 1.1473,                0.74277,                 1.2693,               0.003169,               0.003169,               0.003169
                     71,                 1.0314,                0.76843,                 1.2257,                0.86127,                 0.8921,                0.89672,                 0.5854,                 1.1585,                0.77474,                 1.2785,                0.00307,                0.00307,                0.00307
                     72,                  1.046,                0.75995,                 1.2303,                0.88159,                0.88242,                0.90182,                0.58921,                 1.1546,                0.74869,                 1.2858,               0.002971,               0.002971,               0.002971
                     73,                 1.0261,                0.75935,                 1.2153,                0.88585,                0.88432,                0.89965,                0.59474,                 1.1337,                0.71977,                 1.2513,               0.002872,               0.002872,               0.002872
                     74,                  1.037,                0.75636,                  1.218,                0.88012,                0.87628,                0.90203,                0.59499,                 1.1349,                0.72664,                 1.2686,               0.002773,               0.002773,               0.002773
                     75,                  1.019,                0.73588,                 1.2092,                0.88396,                 0.8852,                0.90192,                0.59521,                 1.1407,                0.73207,                 1.2717,               0.002674,               0.002674,               0.002674
                     76,                 1.0071,                0.72797,                 1.2093,                 0.8927,                0.86785,                0.89384,                0.59408,                 1.1362,                0.74797,                 1.2702,               0.002575,               0.002575,               0.002575
                     77,                 1.0057,                0.73853,                   1.21,                0.87513,                0.88434,                0.88584,                0.58752,                 1.1626,                0.74504,                  1.287,               0.002476,               0.002476,               0.002476
                     78,                 1.0286,                0.74448,                 1.2145,                0.88977,                0.87659,                0.89654,                0.59092,                 1.1515,                0.74832,                  1.283,               0.002377,               0.002377,               0.002377
                     79,                 1.0031,                 0.7288,                 1.1987,                0.87968,                0.88351,                0.89926,                 0.5981,                 1.1536,                0.75275,                 1.2855,               0.002278,               0.002278,               0.002278
                     80,                0.98563,                0.71554,                 1.2059,                0.89988,                0.87888,                0.90045,                0.59556,                 1.1447,                0.73622,                 1.2861,               0.002179,               0.002179,               0.002179
                     81,                0.98058,                 0.7139,                 1.1929,                0.88941,                0.87202,                 0.8912,                0.59302,                 1.1436,                0.73781,                 1.2732,                0.00208,                0.00208,                0.00208
                     82,                 1.0097,                0.72275,                 1.2019,                0.88994,                0.88021,                0.90121,                0.59668,                  1.143,                0.72887,                 1.2825,               0.001981,               0.001981,               0.001981
                     83,                0.99272,                0.71706,                  1.199,                0.88982,                0.87634,                0.89232,                0.58772,                 1.1436,                0.73645,                 1.2748,               0.001882,               0.001882,               0.001882
                     84,                 1.0051,                0.71669,                 1.2045,                0.89425,                0.87511,                0.89882,                 0.5918,                 1.1551,                0.72264,                 1.2851,               0.001783,               0.001783,               0.001783
                     85,                0.99134,                0.72188,                 1.1956,                0.89079,                0.87287,                0.89287,                0.58678,                 1.1416,                0.74115,                 1.2739,               0.001684,               0.001684,               0.001684
                     86,                0.98002,                0.70959,                 1.1918,                0.89563,                0.87503,                0.90012,                0.59724,                  1.141,                0.73639,                 1.2757,               0.001585,               0.001585,               0.001585
                     87,                 0.9902,                0.69988,                  1.195,                0.87968,                 0.8763,                 0.8962,                0.59227,                 1.1479,                0.73039,                 1.2749,               0.001486,               0.001486,               0.001486
                     88,                0.96369,                 0.6921,                 1.1855,                0.88396,                0.88461,                0.89359,                0.58838,                 1.1464,                0.73301,                 1.2792,               0.001387,               0.001387,               0.001387
                     89,                0.98842,                0.69995,                 1.1944,                0.88972,                0.87363,                 0.9013,                0.59464,                 1.1393,                0.71133,                 1.2782,               0.001288,               0.001288,               0.001288
                     90,                0.97099,                0.69385,                 1.1837,                 0.8882,                0.88609,                0.90186,                0.59464,                 1.1374,                0.71458,                 1.2794,               0.001189,               0.001189,               0.001189
                     91,                0.96227,                 0.6861,                 1.1925,                0.89385,                0.87661,                 0.9023,                0.59098,                 1.1424,                0.72583,                 1.2813,                0.00109,                0.00109,                0.00109
                     92,                0.96803,                 0.6852,                 1.1816,                0.89206,                0.88561,                0.90001,                0.59148,                   1.13,                0.71321,                 1.2716,               0.000991,               0.000991,               0.000991
                     93,                0.96379,                0.68517,                  1.183,                0.88666,                0.87199,                 0.8939,                0.59135,                 1.1421,                 0.7265,                 1.2795,               0.000892,               0.000892,               0.000892
                     94,                0.95591,                0.67553,                 1.1786,                0.88898,                0.88344,                0.90174,                0.59937,                 1.1417,                 0.7236,                 1.2821,               0.000793,               0.000793,               0.000793
                     95,                0.94604,                0.66927,                 1.1735,                0.89113,                0.88425,                0.90267,                0.59669,                 1.1355,                0.71097,                  1.277,               0.000694,               0.000694,               0.000694
                     96,                0.94471,                 0.6605,                 1.1724,                0.89469,                0.88895,                0.90355,                0.59503,                 1.1453,                0.71152,                 1.2821,               0.000595,               0.000595,               0.000595
                     97,                 0.9635,                0.67178,                 1.1868,                0.89105,                0.88935,                0.90316,                0.60006,                 1.1345,                0.70693,                 1.2729,               0.000496,               0.000496,               0.000496
                     98,                0.93839,                0.67461,                 1.1653,                0.90297,                0.87836,                0.90125,                0.59175,                 1.1354,                0.70696,                  1.273,               0.000397,               0.000397,               0.000397
                     99,                0.93873,                0.65821,                 1.1723,                0.89915,                0.87972,                0.90187,                0.59379,                 1.1359,                0.70623,                 1.2752,               0.000298,               0.000298,               0.000298
