                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                    inf,                0.22877,                0.89464,                0.96332,                0.97895,                0.98943,                0.98674,                0.18811,                 0.3074,                0.29885,               0.006535,               0.006535,               0.006535
                     37,                0.06357,                0.22538,                0.89569,                0.97376,                0.97536,                 0.9899,                0.98756,                0.13019,                0.24729,                0.23031,               0.006436,               0.006436,               0.006436
                     38,                0.06121,                0.22224,                0.89367,                0.98128,                0.97123,                0.99054,                0.98799,                 0.1295,                0.23649,                0.22729,               0.006337,               0.006337,               0.006337
                     39,                    inf,                0.22231,                0.89448,                0.98076,                0.96331,                 0.9905,                0.98909,                0.12231,                0.23453,                0.22209,               0.006238,               0.006238,               0.006238
                     40,                 0.0603,                0.21636,                0.89361,                0.96929,                0.98301,                0.99042,                0.98874,                0.18068,                0.30034,                0.29187,               0.006139,               0.006139,               0.006139
                     41,                0.06108,                0.21407,                0.89366,                0.97519,                0.97742,                0.99022,                0.98813,                0.12325,                0.24601,                0.22615,                0.00604,                0.00604,                0.00604
                     42,                 0.0595,                0.20854,                0.89315,                0.97195,                0.97349,                 0.9901,                0.98821,                0.11123,                0.24654,                0.20817,               0.005941,               0.005941,               0.005941
                     43,                0.05772,                0.20881,                0.89249,                0.98125,                0.96499,                 0.9901,                 0.9888,                0.11798,                0.24791,                0.21538,               0.005842,               0.005842,               0.005842
                     44,                0.05872,                0.20815,                0.89218,                0.98243,                0.96489,                0.99014,                0.98914,                0.10297,                0.23697,                0.19598,               0.005743,               0.005743,               0.005743
                     45,                0.05909,                 0.2105,                0.89284,                 0.9835,                0.96217,                0.99004,                0.98899,                0.14067,                0.27909,                0.24004,               0.005644,               0.005644,               0.005644
                     46,                0.05683,                0.20408,                0.89323,                 0.9805,                0.96035,                0.99016,                0.98864,                0.17301,                 0.3069,                0.28176,               0.005545,               0.005545,               0.005545
                     47,                0.05599,                0.20788,                0.89251,                0.97352,                0.96853,                 0.9896,                0.98859,                0.18623,                0.31509,                0.30148,               0.005446,               0.005446,               0.005446
                     48,                0.05656,                0.19848,                0.89441,                0.98075,                0.96989,                0.99005,                0.98831,                0.17856,                0.30422,                0.29356,               0.005347,               0.005347,               0.005347
                     49,                0.05489,                0.19732,                0.89254,                0.97738,                0.97552,                0.99053,                0.98848,                0.17908,                0.31252,                0.29103,               0.005248,               0.005248,               0.005248
                     50,                0.05492,                0.19994,                0.89413,                0.97825,                0.97763,                0.99063,                0.98768,                0.18604,                0.30912,                0.29715,               0.005149,               0.005149,               0.005149
                     51,                0.05342,                0.19205,                0.89122,                0.97884,                0.97381,                 0.9909,                0.98757,                 0.1863,                0.31153,                0.29839,                0.00505,                0.00505,                0.00505
                     52,                0.05309,                0.18661,                0.89146,                0.97809,                0.97271,                0.99075,                0.98843,                0.18914,                0.31945,                0.30421,               0.004951,               0.004951,               0.004951
                     53,                0.05372,                0.18968,                0.89269,                0.96525,                0.98364,                 0.9905,                0.98734,                0.18877,                 0.3223,                 0.3051,               0.004852,               0.004852,               0.004852
                     54,                0.05352,                0.19392,                0.89267,                 0.9749,                0.97287,                0.99053,                 0.9864,                0.19014,                0.32313,                0.30782,               0.004753,               0.004753,               0.004753
                     55,                0.05216,                0.18611,                0.89124,                0.96786,                0.98277,                 0.9909,                0.98841,                0.18681,                0.32155,                0.30465,               0.004654,               0.004654,               0.004654
                     56,                0.05287,                0.18831,                 0.8926,                0.96931,                0.97947,                0.99078,                0.98832,                0.18476,                 0.3184,                  0.302,               0.004555,               0.004555,               0.004555
                     57,                0.05121,                0.18111,                0.89138,                0.97953,                0.97101,                0.99097,                0.98887,                0.18764,                0.32295,                0.30483,               0.004456,               0.004456,               0.004456
                     58,                0.05029,                0.17704,                0.89141,                0.97759,                0.97121,                 0.9909,                0.98913,                0.18506,                0.32332,                0.30157,               0.004357,               0.004357,               0.004357
                     59,                0.04988,                0.17709,                0.89143,                0.97023,                0.98087,                0.99113,                0.98941,                 0.1827,                0.32233,                0.29771,               0.004258,               0.004258,               0.004258
                     60,                0.04933,                0.17758,                 0.8923,                0.97215,                0.97964,                0.99101,                0.98894,                0.18262,                0.32332,                0.29829,               0.004159,               0.004159,               0.004159
                     61,                0.04924,                0.17506,                 0.8913,                0.97099,                0.98117,                0.99106,                0.98781,                0.17885,                0.32047,                0.29468,                0.00406,                0.00406,                0.00406
                     62,                    inf,                0.17326,                0.89089,                0.97474,                0.97576,                0.99066,                0.98767,                0.16442,                0.30711,                0.27666,               0.003961,               0.003961,               0.003961
                     63,                0.04749,                0.16839,                0.89005,                0.97614,                0.97515,                 0.9909,                 0.9886,                  0.142,                0.27014,                0.24732,               0.003862,               0.003862,               0.003862
                     64,                0.04773,                0.16656,                0.88943,                0.97684,                0.97375,                0.99093,                0.98953,                0.13533,                0.25616,                0.23823,               0.003763,               0.003763,               0.003763
                     65,                0.04643,                0.16612,                0.88943,                0.97925,                0.97899,                0.99107,                0.98951,                0.12972,                0.24383,                 0.2312,               0.003664,               0.003664,               0.003664
                     66,                0.04703,                0.16958,                0.89139,                0.97924,                0.97998,                0.99105,                0.98952,                0.12938,                0.24453,                0.23069,               0.003565,               0.003565,               0.003565
                     67,                0.04617,                0.16279,                0.89066,                0.97918,                0.98064,                0.99104,                0.98953,                0.12891,                0.24483,                0.23033,               0.003466,               0.003466,               0.003466
                     68,                0.04557,                0.16356,                0.88979,                0.97673,                0.98132,                0.99099,                0.98955,                0.12929,                0.24546,                0.23066,               0.003367,               0.003367,               0.003367
                     69,                0.04419,                0.15806,                0.88976,                0.97671,                0.98098,                0.99098,                0.98961,                0.12863,                0.24221,                0.22963,               0.003268,               0.003268,               0.003268
                     70,                0.04516,                0.16134,                0.88984,                0.97687,                0.98126,                0.99101,                0.98944,                0.12786,                0.24038,                0.22839,               0.003169,               0.003169,               0.003169
                     71,                0.04443,                0.15764,                0.88812,                0.97663,                0.98171,                0.99098,                0.98933,                0.12723,                0.24007,                0.22763,                0.00307,                0.00307,                0.00307
                     72,                    inf,                0.15702,                0.88896,                0.98013,                0.97544,                  0.991,                0.98943,                0.12646,                0.24097,                0.22764,               0.002971,               0.002971,               0.002971
                     73,                0.04332,                0.15587,                0.89057,                0.97975,                0.97717,                 0.9913,                0.98992,                  0.127,                 0.2434,                0.22883,               0.002872,               0.002872,               0.002872
                     74,                0.04324,                0.15268,                 0.8888,                0.97922,                0.97777,                0.99108,                0.98968,                0.12809,                0.24537,                 0.2304,               0.002773,               0.002773,               0.002773
                     75,                0.04297,                0.14914,                0.88965,                0.97966,                0.97799,                0.99109,                0.98945,                0.12846,                0.24658,                0.23108,               0.002674,               0.002674,               0.002674
                     76,                0.04174,                0.15004,                0.88857,                0.97853,                0.97766,                0.99087,                0.98947,                0.13076,                0.25159,                0.23408,               0.002575,               0.002575,               0.002575
                     77,                0.04079,                0.14726,                0.89007,                  0.979,                0.97306,                0.99082,                0.98846,                0.13465,                0.25995,                0.23941,               0.002476,               0.002476,               0.002476
                     78,                0.04005,                0.14167,                0.88816,                0.97924,                0.97268,                0.99067,                0.98805,                0.13615,                0.26395,                0.24126,               0.002377,               0.002377,               0.002377
                     79,                 0.0408,                0.14563,                0.88843,                0.97944,                0.97253,                 0.9905,                0.98755,                0.13742,                0.26682,                0.24273,               0.002278,               0.002278,               0.002278
                     80,                    inf,                0.14296,                0.88862,                0.97946,                0.97547,                0.99068,                0.98811,                0.13989,                 0.2705,                0.24578,               0.002179,               0.002179,               0.002179
                     81,                 0.0387,                0.13893,                0.89057,                0.98018,                0.97549,                0.99077,                0.98784,                 0.1409,                0.27196,                0.24701,                0.00208,                0.00208,                0.00208
                     82,                0.03799,                0.13813,                0.88927,                0.97997,                0.97587,                0.99083,                0.98804,                0.14158,                0.27474,                0.24793,               0.001981,               0.001981,               0.001981
                     83,                0.03766,                0.13365,                0.88832,                0.98055,                0.97516,                0.99108,                0.98842,                0.14422,                0.27905,                0.25147,               0.001882,               0.001882,               0.001882
                     84,                0.03704,                0.13535,                 0.8879,                0.98083,                0.97506,                0.99118,                0.98818,                0.14346,                0.27839,                0.25037,               0.001783,               0.001783,               0.001783
